縣市別,行業別,媒介物,災害類型,發生日期,死,傷
台南市,營造業,梯子等,墜落、滾落,2017/11/15,1,0
高雄市,農、林、漁、牧業,易燃易體,爆炸,2017/11/17,0,4
台中市,製造業,其他(挖溝機),墜落、滾落,2017/11/22,1,0
屏東縣,批發及零售業,卡車,被撞,2017/11/23,1,0
新北市,營造業,營建物,墜落、滾落,2017/11/23,1,0
桃園市,製造業,其他,被夾、被捲,2017/11/27,1,0
南投縣,營造業,貨車,被撞,2017/11/29,1,0
台中市,批發及零售業,開口處,墜落、滾落,2017/12/2,1,0
台北市,營造業,合梯,墜落、滾落,2017/12/3,1,0
高雄市,運輸及倉儲業,傾卸車,衝撞,2017/12/6,1,0
台南市,製造業,待查,待查,2017/12/6,1,0
新北市,營造業,盲板,物體飛落,2017/12/7,1,0
台中市,營造業,開口部分,墜落、滾落,2017/12/8,1,0
新北市,農、林、漁、牧業,水,溺斃,2017/12/8,1,2
新北市,營造業,施工架,墜落、滾落,2017/12/9,1,0
彰化縣,營造業,開口,墜落、滾落,2017/12/11,1,0
台中市,營造業,車輛,公路交通事故,2017/12/11,1,1
雲林縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/12/12,1,0
台中市,營造業,施工架,墜落、滾落,2017/12/13,1,0
新北市,營造業,工作台,墜落、滾落,2017/12/14,1,0
屏東縣,營造業,梯子等,墜落、滾落,2017/12/19,1,0
台中市,營造業,營建物,墜落、滾落,2017/12/21,1,0
台南市,不動產業,施工架,墜落、滾落,2017/12/23,1,0
新北市,無,堆高機,墜落、滾落,2017/12/24,1,0
桃園市,營造業,工作台,墜落、滾落,2017/12/25,1,0
台南市,批發及零售業,已包裝貨物,物體倒塌、崩塌,2017/12/25,1,0
屏東縣,製造業,車輛,被撞,2017/12/26,1,0
台北市,營造業,合梯,墜落、滾落,2017/12/26,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2017/12/26,1,0
宜蘭縣,營造業,樓板,墜落、滾落,2017/12/27,1,0
花蓮縣,製造業,固定式起重機,墜落、滾落,2017/12/28,1,0
台中市,營造業,工作平台、踏板,墜落、滾落,2017/12/29,1,0
